zipcode,caseid,cutoffym,mean_commute
30263,92953147,201207,31.6230436869899
30263,93066017,201208,31.6230436869899
30263,93702203,201209,31.6230436869899
30263,93723383,201207,31.6230436869899
30263,93899493,201204,31.6230436869899
30263,93978679,201209,31.6230436869899
30263,94128350,201209,31.6230436869899
30263,94388248,201207,31.6230436869899
30265,80008727,201211,33.885471826205
30265,80380517,201301,33.885471826205
30265,83531673,201211,33.885471826205
30265,83579862,201211,33.885471826205
30265,86782636,201302,33.885471826205
30265,89087529,201301,33.885471826205
30265,90052840,201210,33.885471826205
30265,90844652,201206,33.885471826205
30265,91469306,201210,33.885471826205
30265,91551023,201210,33.885471826205
30265,91786508,201205,33.885471826205
30265,92142642,201209,33.885471826205
30265,92546334,201210,33.885471826205
30265,92643970,201210,33.885471826205
30265,92926495,201207,33.885471826205
30265,93260187,201205,33.885471826205
30265,93302425,201207,33.885471826205
30268,85528819,201303,33.4524105367793
30268,89405338,201207,33.4524105367793
30269,81180349,201301,30.7809697214917
30269,83934788,201212,30.7809697214917
30269,84173043,201301,30.7809697214917
30269,84976431,201211,30.7809697214917
30269,85074790,201211,30.7809697214917
30269,85541546,201301,30.7809697214917
30269,85963308,201211,30.7809697214917
30269,89533978,201303,30.7809697214917
30269,90095584,201210,30.7809697214917
30269,90125146,201208,30.7809697214917
30269,90631629,201210,30.7809697214917
30269,90676992,201206,30.7809697214917
30269,90975677,201208,30.7809697214917
30269,91037611,201205,30.7809697214917
30269,91867126,201205,30.7809697214917
30269,91997032,201211,30.7809697214917
30269,92847723,201208,30.7809697214917
30269,92855399,201204,30.7809697214917
30269,93184564,201206,30.7809697214917
30269,94537998,201208,30.7809697214917
30274,81637601,201207,32.2570797421598
30276,80033916,201211,39.4206639368236
30276,88072201,201212,39.4206639368236
30276,88265049,201212,39.4206639368236
30276,90112995,201206,39.4206639368236
30276,90476080,201211,39.4206639368236
30276,90484665,201205,39.4206639368236
30276,91043920,201206,39.4206639368236
30276,92779936,201205,39.4206639368236
30276,93907370,201205,39.4206639368236
30277,80793845,201303,30.9637533183582
30277,82372413,201303,30.9637533183582
30277,84688408,201302,30.9637533183582
30277,86140768,201301,30.9637533183582
30277,87879878,201212,30.9637533183582
30277,88081324,201211,30.9637533183582
30277,89456817,201301,30.9637533183582
30277,89877971,201212,30.9637533183582
30277,91004529,201204,30.9637533183582
30277,91246981,201208,30.9637533183582
30277,92202546,201205,30.9637533183582
30277,92231902,201209,30.9637533183582
30277,94510076,201208,30.9637533183582
30277,94831034,201204,30.9637533183582
30281,81013120,201207,33.6915761833795
30281,94679722,201201,33.6915761833795
30281,94755224,201201,33.6915761833795
30285,89396043,201303,41.513671875
30286,80177070,201212,23.221248371432
30286,80862769,201303,23.221248371432
30286,81479342,201302,23.221248371432
30286,81738302,201212,23.221248371432
30286,82020769,201301,23.221248371432
30286,83122950,201302,23.221248371432
30286,83170885,201211,23.221248371432
30286,85677342,201302,23.221248371432
30286,86874643,201301,23.221248371432
30286,87074703,201302,23.221248371432
30286,87094046,201211,23.221248371432
30286,87975024,201301,23.221248371432
30286,89223765,201303,23.221248371432
30286,90044500,201206,23.221248371432
30286,90239865,201205,23.221248371432
30286,90510555,201210,23.221248371432
30286,91314022,201208,23.221248371432
30286,91371137,201207,23.221248371432
30286,91978040,201211,23.221248371432
30286,92362404,201211,23.221248371432
30286,92713275,201204,23.221248371432
30286,93123385,201204,23.221248371432
30286,93452197,201207,23.221248371432
30286,93730224,201209,23.221248371432
30286,94401035,201205,23.221248371432
30286,94446438,201206,23.221248371432
30286,94557419,201205,23.221248371432
30286,94698750,201208,23.221248371432
30286,94794894,201207,23.221248371432
30286,94842302,201205,23.221248371432
30289,93059466,201208,42.8571428571429
30290,82733313,201301,30.7428240069585
30290,89998755,201301,30.7428240069585
30290,90249332,201208,30.7428240069585
30290,90698332,201204,30.7428240069585
30290,90991154,201205,30.7428240069585
30290,91170303,201204,30.7428240069585
30290,91243074,201210,30.7428240069585
30290,92868997,201210,30.7428240069585
30290,94507665,201207,30.7428240069585
30292,83036235,201303,36.3910363212263
30292,85443006,201303,36.3910363212263
30292,88590424,201211,36.3910363212263
30292,90454471,201211,36.3910363212263
30292,90701371,201209,36.3910363212263
30292,90869383,201204,36.3910363212263
30292,92853144,201209,36.3910363212263
30292,94378548,201207,36.3910363212263
30293,84736505,201212,27.3116805721097
30293,85026539,201211,27.3116805721097
30293,91486572,201207,27.3116805721097
30293,92527267,201208,27.3116805721097
30294,83200698,201207,36.3528810788721
30294,90944749,201201,36.3528810788721
30294,91029269,201201,36.3528810788721
30294,91606231,201201,36.3528810788721
30294,91849953,201201,36.3528810788721
30295,83991147,201301,33.895810663765
30295,84443513,201301,33.895810663765
30295,92072208,201206,33.895810663765
30295,92466423,201207,33.895810663765
30295,93558044,201204,33.895810663765
30296,90240955,201201,33.0544554455446
30303,94808764,201201,23.3545845272206
30305,84162056,201207,22.1275392870832
30306,84338673,201207,23.2076890756303
30306,86742658,201207,23.2076890756303
30306,88566148,201207,23.2076890756303
30307,83585984,201207,25.1942490690939
30307,83801693,201207,25.1942490690939
30307,85309465,201207,25.1942490690939
30307,86804510,201207,25.1942490690939
30307,89516971,201207,25.1942490690939
30307,90154212,201201,25.1942490690939
30308,84505176,201207,24.1073506377266
30308,92014721,201201,24.1073506377266
