caseid,wgt,month,year,trips_single,trips_md,des_name,des_direction,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,es_origin,es_origin_zip,es_origin_city,es_origin_state,md_days_rec,travel_others,travel_others_num
86635835,6242.4065,2,2013,.26753315,0,"EMERSON POINT PRESERVE","","","SNEAD ISLAND","","FL","","",50,"27.5324N,82.6287W","27.5157N,82.5729W",,0,"-1","-1","-1",,,
86635835,4424.5604,12,2012,1.7824559,0,"","","","HOLMES BEACH","","FL","","",51,"27.4953N,82.7108W","27.5039N,82.7145W",,0,"-1","-1","-1",,,
86635835,4424.5604,12,2012,.35649117,0,"EMERSON POINT PRESERVE","","","SNEAD ISLAND","","FL","","",50,"27.5324N,82.6287W","27.5157N,82.5729W",,0,"-1","-1","-1",,,
86635835,6242.4065,2,2013,1,0,"","","","HOLMES BEACH","","FL","","",51,"27.4953N,82.7108W","27.5039N,82.7145W",1,0,"-1","-1","-1",-1,2,5
86635835,6242.4065,2,2013,1,0,"","","","HOLMES BEACH","","FL","","",51,"27.4953N,82.7108W","27.5039N,82.7145W",1,0,"-1","-1","-1",-1,2,5
86639383,1143.4876,11,2012,2.0844045,0,"CARRABELLE BEACH","","","","","FL","","",36,"29.7967N,84.7461W","29.7967N,84.7461W",,0,"-1","-1","-1",,,
86639383,1183.0282,12,2012,2.021525,0,"","","","ALLIGATOR POINT","","FL","","",37,"29.9034N,84.4174W","29.9034N,84.4174W",,0,"-1","-1","-1",,3,
86639383,1143.4876,11,2012,2.0844045,0,"","","","ALLIGATOR POINT","","FL","","",37,"29.9034N,84.4174W","29.9034N,84.4174W",,0,"-1","-1","-1",,3,
86639383,2940.9958,1,2013,.89407048,0,"CARRABELLE BEACH","","","","","FL","","",36,"29.7967N,84.7461W","29.7967N,84.7461W",,0,"-1","-1","-1",,,
86639383,2940.9958,1,2013,1,0,"","","","ALLIGATOR POINT","","FL","","",37,"29.9034N,84.4174W","29.9034N,84.4174W",1,0,"-1","-1","-1",-1,3,-1
86639383,1183.0282,12,2012,2.021525,0,"CARRABELLE BEACH","","","","","FL","","",36,"29.7967N,84.7461W","29.7967N,84.7461W",,0,"-1","-1","-1",,,
86639383,2940.9958,1,2013,.89407048,0,"","","","ALLIGATOR POINT","","FL","","",37,"29.9034N,84.4174W","29.9034N,84.4174W",,0,"-1","-1","-1",,3,
86641247,18073.253,5,2013,1,0,"STUART BEACH","NEAR STUART CAUSEWAY","","","","FL","MARTIN","",69,"27.2141N,80.1736W","27.3546N,80.2472W",1,0,"-1","-1","-1",-1,2,3
86644631,3468.0806,1,2013,1,0,"","","","CLEARWATER","","FL","PINELLAS","",44,"27.9655N,82.7997W","28.0000N,82.8286W",1,0,"-1","-1","-1",-1,2,3
86646242,5453.0725,3,2013,1,0,"INDIANOLA BEACH & HISTORIC SITE","","","","","TX","","",4,"28.5113N,96.4868W","28.6159N,96.6235W",1,0,"-1","-1","-1",-1,2,3
86660136,11198.05,3,2013,0,1,"","","","GULF SHORES","","AL","BALDWIN","",20,"30.2773N,87.6830W","30.2773N,87.6830W",4,0,"-1","-1","-1",4,2,4
86663061,8247.9527,2,2013,1,0,"FORT MYERS BEACH PIER","","","FORT MYERS BEACH","","FL","","",57,"26.4529N,81.9563W","26.4486N,81.9427W",1,0,"-1","-1","-1",-1,3,-1
86663061,5200.9829,1,2013,1,0,"FORT MYERS BEACH PIER","","","FORT MYERS BEACH","","FL","","",57,"26.4529N,81.9563W","26.4486N,81.9427W",1,0,"-1","-1","-1",-1,3,-1
86663061,8247.9527,2,2013,1,0,"FORT MYERS BEACH PIER","","","FORT MYERS BEACH","","FL","","",57,"26.4529N,81.9563W","26.4486N,81.9427W",1,0,"-1","-1","-1",-1,3,-1
86667779,4934.5445,3,2013,1,0,"","","","STUART","","FL","MARTIN","",69,"27.1999N,80.2553W","27.3546N,80.2472W",1,0,"-1","-1","-1",-1,3,-1
86667779,4934.5445,3,2013,1,0,"","","","STUART","","FL","MARTIN","",69,"27.1999N,80.2553W","27.3546N,80.2472W",1,0,"-1","-1","-1",-1,3,-1
86667779,4934.5445,3,2013,1,0,"","","","STUART","","FL","MARTIN","",69,"27.1999N,80.2553W","27.3546N,80.2472W",1,0,"-1","-1","-1",-1,3,-1
86674469,3050.6362,11,2012,1,0,"","","","VENICE","","FL","SARASOTA","",53,"27.0994N,82.4500W","27.1316N,82.4735W",1,0,"-1","-1","-1",-1,2,1
86674469,3050.6362,11,2012,1,0,"","","","VENICE","","FL","SARASOTA","",53,"27.0994N,82.4500W","27.1316N,82.4735W",1,0,"-1","-1","-1",-1,2,3
86674469,3050.6362,11,2012,1,0,"","","","PUNTA GORDA","","FL","CHARLOTTE","",56,"26.9329N,82.0528W","26.9834N,82.1016W",,0,"-1","-1","-1",,,
86675091,10127.435,3,2013,1,0,"","","","SAINT PETERSBURG","","FL","PINELLAS","",-1,"27.7711N,82.6387W","",1,0,"-1","-1","-1",-1,2,5
86686659,15402.368,3,2013,0,1,"BILOXI BEACH","","","BILOXI","","MS","","",16,"30.3939N,88.9143W","30.3943N,88.8963W",2,0,"-1","-1","-1",2,2,2
86686921,609.83461,1,2013,1,0,"SHELL POINT - NEAR CRAWFORDVILLE","","","SHELL POINT","","FL","","",38,"30.0579N,84.2915W","30.0579N,84.2915W",1,0,"-1","-1","-1",-1,2,1
86694216,10140.213,4,2013,1,0,"","","","PANAMA CITY","","FL","BAY","",32,"30.1598N,85.6603W","30.1598N,85.6603W",1,0,"-1","-1","-1",-1,2,4
