cbsa,pop,med_income,laborforce,employed,proptax,employment_rate
28700,308899,20994,142464,129612,757,0.909787735849057
28740,182516,27925,96543,87616,4673,0.907533430699274
28780,32376,17682,15233,13252,1309,0.869953390665004
28820,59372,20724,28155,24280,938,0.862369028591724
28860,29939,15655,13839,12801,807,0.924994580533276
28900,66350,20976,30967,26952,1177,0.870345852036038
28940,699097,25066,352834,325755,1017,0.923252861118826
28980,13710,28010,7869,6529,2098,0.829711526242216
29020,98831,25216,46497,41271,775,0.887605651977547
29060,60206,30594,32686,30713,3798,0.939637765404149
29100,133719,25532,76111,71709,2814,0.94216341921667
29140,202238,21199,105708,97052,1010,0.918114050024596
29180,273945,24616,143737,133870,665,0.931353791995102
29220,40629,17569,15772,13729,478,0.870466649759067
29260,25670,21076,11956,10939,1353,0.914938106390097
29300,67146,20894,31875,27585,1187,0.865411764705882
29340,199241,22593,96331,87952,359,0.913018654431076
29380,67546,20917,29996,24236,1108,0.807974396586211
29420,201216,20816,81278,69713,931,0.857710573586948
29460,604562,22678,274745,241637,1229,0.879495532220787
29500,13761,20963,5211,4838,820,0.928420648627903
29540,519913,27030,271175,252602,2819,0.931509173043238
29580,76364,22326,35227,30315,681,0.860561501121299
29620,464458,25020,241626,217882,2603,0.901732429457095
29660,36186,19434,20642,19700,1253,0.954364887123341
29700,250320,17679,104108,96893,2435,0.930696968532678
29740,208794,19605,98103,85907,884,0.875681681498018
29780,29225,17906,11978,10831,584,0.904241108699282
29820,1954773,28802,1030516,899519,1757,0.872882128952874
29860,84901,19734,36369,33783,552,0.928895487915532
29900,36266,17590,14056,11751,780,0.836013090495162
29940,111073,21929,65623,60759,2362,0.925879645855874
29980,41779,19666,19298,17196,697,0.891076795522852
30020,123101,23661,63291,47931,985,0.757311466085225
30060,35507,21427,16814,15171,621,0.90228381110979
30100,174572,27255,94984,89482,3713,0.942074454644993
30140,133578,27079,69985,64521,2271,0.92192612702722
30220,22988,22637,11290,10586,1153,0.937643932683791
30260,44944,20810,19158,17662,1893,0.921912516964193
30280,30585,21408,15089,13197,904,0.874610643515144
30300,60884,23146,29783,27746,1565,0.931605278178827
30340,107766,24273,57935,52617,2292,0.908207473893156
30380,46694,21676,21243,19377,1505,0.912159299533964
30420,26287,24232,13833,13055,1644,0.943757680907974
30460,472974,25653,257140,236411,1373,0.919386326514739
30500,105528,38315,57008,51480,2462,0.903031153522313
30580,23013,24571,11423,10335,1269,0.90475356736409
30620,106079,22034,52372,46412,1351,0.886198732146949
30660,30278,25211,12118,11364,1955,0.937778511305496
30700,303154,26032,174811,164015,2766,0.938241872651034
30740,78052,25670,40612,35535,1189,0.87498768836797
30780,700952,26079,361201,328915,885,0.910614865407349
30820,39261,20973,18550,17104,1465,0.922048517520216
30860,124834,20952,62576,58190,1039,0.929909230375863
30900,38875,22580,19330,17378,697,0.89901707190895
30940,58891,20012,25623,22574,597,0.881005346758771
30980,214048,22580,100715,93657,1269,0.929921064389614
31020,102138,23063,46319,40204,1907,0.867980742244004
31060,18008,53622,9543,9119,1638,0.955569527402284
31100,12861864,26319,6639066,5943886,3326,0.895289488009307
31140,1284195,26430,668472,602573,1300,0.901418458813533
31180,284439,21201,147778,138075,1825,0.934340700239549
31260,86550,21145,39090,35938,1113,0.919365566641085
31300,133920,17371,54708,48086,708,0.878957373693061
31340,252560,23119,126724,116142,898,0.916495691423882
31380,32568,15543,16402,14801,1655,0.902389952444824
31420,232259,22466,104917,94080,1134,0.896708826977516
31460,150615,20920,58987,52135,1669,0.883838811941614
31500,32501,21933,15868,14375,807,0.905911267960676
31540,570687,31362,337955,318648,4224,0.942871092305188
31580,46891,21828,21839,19844,672,0.908649663446129
31620,24644,17125,10883,9523,463,0.875034457410641
31660,51698,23903,22710,20553,1950,0.905019815059445
31700,401101,33440,230585,214659,5208,0.930932194201704
31740,127657,24737,70194,57166,1902,0.814400091175884
31820,81266,26528,44620,41247,2430,0.924406095921112
31860,96680,24108,58164,54714,1615,0.940684959768929
31900,124286,22530,58691,52842,1438,0.900342471588489
31920,42946,25225,19881,18643,1970,0.937729490468286
31940,65745,22350,32775,29437,1419,0.89815408085431
31980,69886,20341,32321,28764,642,0.889947712013861
32020,66514,20710,29985,27127,1227,0.904685676171419
32060,66335,22542,31518,28636,1287,0.908560187829177
32100,67178,21639,33495,30810,1384,0.919838781907747
32140,25714,25145,14772,14061,1449,0.951868399675061
32180,23232,20507,11239,10430,699,0.928018506984607
32220,65958,22466,31533,28997,1295,0.919576316874386
32260,40568,26104,20503,19040,1437,0.928644588596791
32270,74591,25988,39433,36654,2220,0.929526031496462
32280,34802,18457,16936,14652,610,0.865139348134152
32300,67825,18459,31137,27008,509,0.867392491248354
32340,23305,16070,12427,11637,1049,0.936428743864167
