ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01022,44140,1.000000000,1.000000000,1.000000000,1.000000000
01026,38340,0.053016453,0.000000000,0.000000000,0.049828179
01026,44140,0.946983547,1.000000000,1.000000000,0.950171821
01027,44140,1.000000000,1.000000000,1.000000000,1.000000000
01028,44140,1.000000000,1.000000000,1.000000000,1.000000000
01029,38340,1.000000000,0.000000000,1.000000000,1.000000000
01030,44140,1.000000000,1.000000000,1.000000000,1.000000000
01031,49340,1.000000000,1.000000000,1.000000000,1.000000000
01032,44140,1.000000000,0.000000000,1.000000000,1.000000000
01033,44140,1.000000000,1.000000000,1.000000000,1.000000000
01034,44140,1.000000000,1.000000000,1.000000000,1.000000000
01035,44140,1.000000000,1.000000000,1.000000000,1.000000000
01036,44140,1.000000000,1.000000000,1.000000000,1.000000000
01037,49340,1.000000000,1.000000000,0.000000000,1.000000000
01038,44140,1.000000000,1.000000000,1.000000000,1.000000000
01039,44140,1.000000000,1.000000000,1.000000000,1.000000000
01040,44140,1.000000000,1.000000000,1.000000000,1.000000000
01041,44140,1.000000000,1.000000000,1.000000000,1.000000000
01050,44140,1.000000000,1.000000000,1.000000000,1.000000000
01053,44140,1.000000000,1.000000000,1.000000000,1.000000000
01054,44140,1.000000000,1.000000000,1.000000000,1.000000000
01056,44140,1.000000000,1.000000000,1.000000000,1.000000000
01057,44140,1.000000000,1.000000000,1.000000000,1.000000000
01059,44140,0.000000000,1.000000000,0.000000000,1.000000000
01060,44140,1.000000000,1.000000000,1.000000000,1.000000000
01062,44140,1.000000000,1.000000000,1.000000000,1.000000000
01063,44140,0.000000000,1.000000000,1.000000000,1.000000000
01066,44140,1.000000000,1.000000000,0.000000000,1.000000000
01068,49340,1.000000000,1.000000000,1.000000000,1.000000000
01069,44140,1.000000000,1.000000000,1.000000000,1.000000000
01070,44140,1.000000000,1.000000000,1.000000000,1.000000000
01071,44140,1.000000000,1.000000000,1.000000000,1.000000000
01072,44140,1.000000000,1.000000000,1.000000000,1.000000000
01073,44140,1.000000000,1.000000000,1.000000000,1.000000000
01074,49340,0.000000000,1.000000000,0.000000000,1.000000000
